Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 5 (2),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 13-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,"G3G4 (24HS301T) E309, DHM-L","G3G4 (24CS335T) F1-304, NIP-L",SHORT BREAK,"G3 (24CS303P) F-202, SVS-P",,LUNCH BREAK,"G3G4 (24CS301T) F1-304, RAGUP-L","G3G4 (24CS302T) F1-304, SKB-L",SHORT BREAK,"G3G4 (24CS304T) E204, HITH-L",
,,,"G3G4 (24CS333T) F1-303, SVS-L",,"G4 (24CS304P) F-203, HITH-P",,,,,,,
Tuesday,,"G3 (24CS304P) F-203, HITH-P",,,,LUNCH BREAK,"G3G4 (24CS331T) E203, BHB-L","G3G4 (24CS301T) F1-304, RAGUP-L","G3G4 (24CS303T) F1-304, SVS-L",,,
Wednesday,,"G4 (24CS303P) F-202, SVS-P",,,,,"G3G4 (24CS331T) E203, BHB-L","G3G4 (CDC) E203, CDCT-L","G3G4 (24CS303T) E203, SVS-L",,"G3G4 (24HS301T) E203, DHM-L",
Thursday,,"G3G4 (24CS302T) E309, SKB-L","G3G4 (24CS335T) F1-304, NIP-L",,"G3G4 (24CS301T) E310, RAGUP-L",,"G3G4 (24CS331T) E203, BHB-L","G3G4 (24CS303T) F1-304, SVS-L","G3G4 (24CS304T) F1-304, HITH-L",,"G3G4 (24HS301T) F1-303, NAIK-L",
,,,"G3G4 (24CS333T) F1-303, SVS-L",,,,,,,,,
Friday,,"G3G4 (24CS335T) F1-304, NIP-L","G3G4 (24CS302T) E309, SKB-L",,"G4 (24CS302P) E308, LKM-P",,LUNCH BREAK,"G3G4 (24CS304T) F1-304, HITH-L","G3G4 (CDC) F1-304, CDCT-L",,,
,,"G3G4 (24CS333T) F1-303, SVS-L",,,"G3 (24CS302P) E308, SKB-P",,,,,,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
BHB,,Bhoomi Bangoria,,,24CS301T,,Introduction to Artificial Intelligence,,,,,
CDCT,,CD Cell Trainer,,,24CS302P,,Computer Networks Laboratory,,,,,
DHM,,Dhyani Mehta,,,24CS302T,,Computer Network,,,,,
HAK,,Hargeet Kaur,,,24CS303P,,Compiler Design Laboratory,,,,,
HITH,,Hiren Thakkar,,,24CS303T,,Compiler Design,,,,,
LKM,,Laxmi Kumari,,,24CS304P,,Operating System Laboratory,,,,,
NAIK,,Chuleshwar Naik,,,24CS304T,,Operating System,,,,,
NIP,,Nisarg Patel,,,24CS331T,,Data Mining and Data Warehousing,,,,,
RAGUP,,Rajeev Gupta,,,24CS333T,,Computer Graphics,,,,,
SKB,,Santosh Kumar Bharti,,,24CS335T,,Advanced Data Structure and Algorithms,,,,,
SVS,,Shivangi Surati,,,24HS301T,,Engineering Economics,,,,,
,,,,,25MSCSQT301T,,Hardware Platforms for Quantum Technologies,,,,,
,,,,,CDC,,CD CELL,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
