Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 5 (1),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 13-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,"G1G2 (24CS301T) F1-304, RAGUP-L","G1G2 (24CS335T) F1-304, NIP-L",SHORT BREAK,"G1 (24CS304P) F-103, SHPA-P",,LUNCH BREAK,"G1 (24CS302P) F-202, MAPL-P",,SHORT BREAK,,
,,,"G1G2 (24CS331T) E203, BHB-L",,"G2 (24CS302P) F-104, MAPL-P",,,"G2 (24CS303P) E216, SMP-P",,,,
,,,"G1G2 (24CS333T) F1-303, SVS-L",,,,,,,,,
Tuesday,,"G1G2 (24CS301T) F1-304, RAGUP-L","G1G2 (24CS302T) F1-304, MAPL-L",,"G1G2 (24CS303T) E310, SMP-L","G1G2 (24HS301T) E310, HIBA-L",,,,,,
Wednesday,,"G2 (24CS304P) F-104, SHPA-P",,,"G1G2 (24HS301T) E310, HIBA-L","G1G2 (24CS304T) E310, SHPA-L",,"G1G2 (24CS303T) F1-303, SMP-L",,,,
,,"G1 (24CS303P) F-103, SMP-P",,,,,,,,,,
Thursday,,"G1G2 (24CS301T) F1-304, RAGUP-L","G1G2 (24CS335T) F1-304, NIP-L",,"G1G2 (24CS302T) E306, MAPL-L","G1G2 (24CS303T) E306, SMP-L",,"G1G2 (24CS304T) F1-302, SHPA-L","G1G2 (CDC) F1-303, CDCT-L",,,
,,,"G1G2 (24CS333T) F1-303, SVS-L",,,,,,,,,
,,,"G1G2 (24CS331T) E203, BHB-L",,,,,,,,,
Friday,,"G1G2 (24CS335T) F1-304, NIP-L","G1G2 (24CS302T) F1-304, MAPL-L",,"G1G2 (24HS301T) E310, HIBA-L","G1G2 (24CS304T) E310, SHPA-L",,"G1G2 (CDC) E204, CDCT-L",,,,
,,"G1G2 (24CS333T) F1-303, SVS-L",,,,,,,,,,
,,"G1G2 (24CS331T) E203, BHB-L",,,,,,,,,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
BHB,,Bhoomi Bangoria,,,23MSCPM301T,,Time Series Analysis and Data Assimilation,,,,,
CDCT,,CD Cell Trainer,,,24CS301T,,Introduction to Artificial Intelligence,,,,,
HIBA,,Himani Baxi,,,24CS302P,,Computer Networks Laboratory,,,,,
MAPL,,Manish Paliwal,,,24CS302T,,Computer Network,,,,,
NIP,,Nisarg Patel,,,24CS303P,,Compiler Design Laboratory,,,,,
NKP,,Naman Krishna Pande,,,24CS303T,,Compiler Design,,,,,
RAGUP,,Rajeev Gupta,,,24CS304P,,Operating System Laboratory,,,,,
SHPA,,Shilpa Pandey,,,24CS304T,,Operating System,,,,,
SMP,,Samir Patel,,,24CS331T,,Data Mining and Data Warehousing,,,,,
SVS,,Shivangi Surati,,,24CS333T,,Computer Graphics,,,,,
,,,,,24CS335T,,Advanced Data Structure and Algorithms,,,,,
,,,,,24HS301T,,Engineering Economics,,,,,
,,,,,CDC,,CD CELL,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
